"","Plant","Quantity_units","Cost_of_Goods_Sold_EURO","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs","Product_Line","Product_Type","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Number_of_Deliveries","Customer_Class","Turnover_Range_EURO","Geographical_Area"
"9609","Southern Italy",5,690.75,27.89,47.61,3.98,746.45,"Profiles","Metal Profiles",42,97.35,1358,4,"Nationals","e >500","CEU"
"9610","USA",453,45176.79,3379.85,3766.07,193.47,5014.8,"Profiles","Metal Profiles",37,7415.61,789,22,"Nationals","e >500","NAM"
"9611","USA",116,11745.61,922.43,964.48,49.54,1347.66,"Profiles","Metal Profiles",37,1898.92,1684,5,"Nationals","e >500","NAM"
"9612","USA",430,43326.62,2284.71,2293.36,117.36,4247.63,"Profiles","Metal Profiles",35,7039.1,4115,20,"Nationals","e >500","NAM"
"9613","USA",40,5158.42,374.07,356.59,156.29,778.18,"Profiles","Metal Profiles",40,774.8,349,4,"Nationals","e >500","NAM"
"9616","Southern Italy",10,978.93,69.01,29.36,1.24,187.02,"Profiles","Metal Profiles",33,163.4,1360,4,"Others","a 0-20","APA"
"9617","Southern Italy",108,15530.88,498.32,782.93,11.8,3146.36,"Profiles","Metal Profiles",43,2387.88,3234,74,"Nationals","e >500","CSI"
"9619","UK",6,669.43,100.2,19.42,1.02,125.18,"Profiles","Metal Profiles",39,230.78,1095,29,"Others","a 0-20","UKE"
"9620","Southern Italy",75,8833.04,344.1,371.91,9.84,1244.72,"Profiles","Metal Profiles",35,1364.25,1559,51,"Nationals","e >500","SCA"
"9621","Southern Italy",5,588.6,37.69,39.11,0.92,637.49,"Profiles","Metal Profiles",35,81.7,1028,4,"Nationals","e >500","SAM"
"9622","UK",6,862.83,159.67,29.49,17.64,348.34,"Profiles","Metal Profiles",38,123.36,2508,4,"Nationals","d 250-500","UKE"
"9623","UK",3,434.19,84.93,14.75,8.82,258.1,"Profiles","Metal Profiles",38,61.68,1209,4,"Nationals","d 250-500","UKE"
"9624","Southern Italy",120,13058.96,436.79,552.68,14.78,1313.24,"Profiles","Metal Profiles",33,2242.8,1626,60,"Nationals","e >500","SCA"
"9625","UK",7,698.56,110.03,19.88,1.04,71.56,"Profiles","Metal Profiles",34,4201.74,1044,18,"Others","c 100-250","UKE"
"9626","UK",244,24349.98,2569.23,517.54,23.31,2473.5,"Profiles","Metal Profiles",34,4201.74,2864,20,"Nationals","e >500","UKE"
"9627","Southern Italy",5,709.11,45.11,17.46,0.42,287.18,"Profiles","Metal Profiles",42,111.3,1904,4,"Others","e >500","CEU"
"9628","Southern Italy",12,1647.04,99.95,133.97,18.76,294.43,"Profiles","Metal Profiles",41,6078.18,3350,51,"Nationals","c 100-250","FRA"
"9629","Southern Italy",20,2745.07,114.37,216.84,2.25,490.71,"Profiles","Metal Profiles",41,6078.18,4256,18,"Nationals","d 250-500","FRA"
"9630","Southern Italy",30,4117.6,278.12,347.3,5.46,736.07,"Profiles","Metal Profiles",41,6078.18,300,29,"Others","e >500","SCA"
"9631","Southern Italy",10,1372.53,46.6,66.56,1.07,245.36,"Profiles","Metal Profiles",41,6078.18,3000,4,"Others","c 100-250","CEU"
"9632","Southern Italy",5,686.27,45.63,62.52,0.68,122.68,"Profiles","Metal Profiles",41,6078.18,1859,4,"Others","e >500","CEU"
"9633","UK",220,30195.72,3933.46,770.5,35.9,5377.08,"Profiles","Metal Profiles",41,6078.18,4323,19,"Nationals","d 250-500","UKE"
"9635","UK",5,686.27,100.6,18.04,0.93,122.68,"Profiles","Metal Profiles",41,6078.18,1859,40,"Others","c 100-250","UKE"
"9636","Southern Italy",60,8477.95,321.68,661.9,6.85,1491.37,"Profiles","Metal Profiles",41,3009,1639,40,"Nationals","c 100-250","FRA"
"9637","Southern Italy",90,12716.93,580.48,888.95,9.97,2247.43,"Profiles","Metal Profiles",41,3009,2399,29,"Nationals","c 100-250","FRA"
"9638","Southern Italy",10,1523.79,120.75,137.68,1.41,414.2,"Profiles","Metal Profiles",37,200.6,3000,18,"Others","e >500","CEU"
"9643","Southern Italy",6,606.73,30.42,49.32,0.52,61.25,"Profiles","Metal Profiles",34,2457.01,917,51,"Others","c 100-250","FRA"
"9644","Southern Italy",30,3033.64,116.62,221.24,1.97,306.27,"Profiles","Metal Profiles",34,2457.01,3491,4,"Others","e >500","IAM"
"9645","Southern Italy",112,11325.59,851.28,571.08,7.5,1122.66,"Profiles","Metal Profiles",34,2457.01,1459,68,"Others","d 250-500","IAM"
"9646","Southern Italy",5,545.13,35.31,54.61,0.44,220.38,"Profiles","Metal Profiles",35,81.2,1028,4,"Others","e >500","FRA"
"9647","Southern Italy",45,4226.12,262.72,343.18,2.81,525.64,"Profiles","Metal Profiles",34,742.05,4260,29,"Nationals","c 100-250","ITA"
"9648","Southern Italy",10,998.35,40.9,46.58,0.91,198.43,"Profiles","Metal Profiles",34,164.9,1364,4,"Others","e >500","IAM"
"9649","Southern Italy",5,791.84,69.12,41.95,1.95,696.22,"Profiles","Metal Profiles",42,112.35,1856,4,"Nationals","d 250-500","UKE"
"9650","Southern Italy",15,1586.35,130.81,103.64,1.06,221.65,"Profiles","Metal Profiles",34,329.8,2145,29,"Nationals","c 100-250","FRA"
"9651","Southern Italy",5,528.78,36.18,39.47,0.42,73.88,"Profiles","Metal Profiles",34,329.8,4456,4,"Others","e >500","IAM"
"9652","Southern Italy",14,1305.23,87.52,104.1,1.1,234.6,"Profiles","Metal Profiles",34,230.86,2077,18,"Others","a 0-20","FRA"
"9653","Southern Italy",60,7643.58,300.77,622.06,6.46,1573.22,"Profiles","Metal Profiles",41,1203.6,1632,29,"Nationals","c 100-250","FRA"
"9654","Southern Italy",85,8065.79,386.27,642.54,5.83,881.68,"Profiles","Metal Profiles",34,1401.65,547,29,"Nationals","d 250-500","ITA"
"9655","UK",5,762.63,97.75,15.1,0.74,695.82,"Profiles","Metal Profiles",42,112.35,1863,4,"Others","b 20-100","UKE"
"9656","Southern Italy",20,2666.02,166.56,214.76,2.16,643.59,"Profiles","Metal Profiles",41,401,4256,18,"Nationals","d 250-500","ITA"
"9657","Southern Italy",20,2696.84,48.49,184.17,14.9,988.38,"Profiles","Metal Profiles",38,339.8,3515,4,"Nationals","e >500","CEU"
"9659","UK",5,706.03,100.44,16.68,0.84,258.34,"Profiles","Metal Profiles",41,120.36,1859,29,"Others","b 20-100","UKE"
"9660","Southern Italy",2940,412938.28,6743.27,29549.15,2465.74,51142.64,"Profiles","Metal Profiles",36,56476.17,4393,50,"Nationals","e >500","CEU"
"9661","Southern Italy",3,421.37,19.89,35.16,0.33,51.71,"Profiles","Metal Profiles",36,56476.17,4442,4,"Others","d 250-500","ITA"
"9662","Southern Italy",10,1501.01,36.19,102.75,8.39,881.03,"Profiles","Metal Profiles",40,191.9,2921,4,"Nationals","e >500","CEU"
"9663","Southern Italy",7,1049.39,52.11,71.86,5.87,819.03,"Profiles","Metal Profiles",40,134.33,2114,18,"Nationals","e >500","CEU"
"9664","Southern Italy",70,9824.36,296.89,684.4,58.71,1827.81,"Profiles","Metal Profiles",36,1343.3,1489,74,"Nationals","e >500","CEU"
"9665","Southern Italy",22,3571.61,121.91,202.35,3.37,890.93,"Profiles","Metal Profiles",41,471.02,291,18,"Nationals","c 100-250","APA"
"9666","Southern Italy",20,2132.01,71.52,120.26,2.17,309.46,"Profiles","Metal Profiles",34,373.8,2993,18,"Nationals","e >500","SAM"
"9667","Southern Italy",15,1594.79,134.48,145.33,1.59,174.67,"Profiles","Metal Profiles",34,1280.3,2479,29,"Others","e >500","CEU"
"9668","Southern Italy",55,5847.57,356.28,608.3,5.85,640.44,"Profiles","Metal Profiles",34,1280.3,166,5,"Others","e >500","FRA"
"9669","Southern Italy",10,1290.68,92.54,98.11,1.12,396.97,"Profiles","Metal Profiles",36,328,2150,18,"Others","e >500","IAM"
"9670","Southern Italy",10,1290.68,109.82,109.05,1.08,396.97,"Profiles","Metal Profiles",36,328,2150,18,"Others","d 250-500","ITA"
"9671","UK",3,388.57,86.37,12.65,7.52,407.42,"Profiles","Metal Profiles",36,65.6,4269,4,"Nationals","d 250-500","UKE"
"9673","Southern Italy",10,952,57.92,85.61,0.82,197.5,"Profiles","Metal Profiles",34,164.9,1364,18,"Others","b 20-100","CSI"
"9675","Southern Italy",10,1406.83,51.71,41.41,2.63,746.02,"Profiles","Metal Profiles",37,188.5,2479,4,"Others","e >500","NAM"
"9676","Southern Italy",25,3535.83,40.95,249.02,22.38,194.03,"Profiles","Metal Profiles",0,0,1,40,"Nationals","e >500","CEU"
"9679","Southern Italy",10,814.68,90.77,40.26,0.86,194.04,"Profiles","Metal Profiles",13,145,2116,18,"Nationals","e >500","ITA"
"9680","Southern Italy",40,3922.67,155.42,132.61,11,445.02,"Profiles","Metal Profiles",15,592.4,4051,4,"Others","e >500","NAM"
"9681","Southern Italy",4,367.99,52.87,15.68,0.36,104.87,"Profiles","Metal Profiles",15,48.44,3780,4,"Others","a 0-20","ITA"
"9682","Southern Italy",6,489.37,40.47,24.02,0.51,140.22,"Profiles","Metal Profiles",13,87,1257,29,"Nationals","e >500","ITA"
"9683","Southern Italy",24,2056.19,202.35,102.45,2.24,397.93,"Profiles","Metal Profiles",13,420.5,3794,64,"Nationals","e >500","ITA"
"9684","Southern Italy",5,428.37,49.83,15.86,0.39,82.9,"Profiles","Metal Profiles",13,420.5,1094,4,"Others","c 100-250","IAM"
"9686","UK",10,764.97,114.57,18.69,0.95,235.5,"Profiles","Metal Profiles",14,146.6,2477,4,"Others","b 20-100","UKE"
"9687","Southern Italy",25,1872.24,157.45,52.55,1.32,254.16,"Profiles","Metal Profiles",12,370.25,2967,18,"Others","b 20-100","IAM"
"9688","Southern Italy",5,518.67,43.52,18.86,0.45,122.91,"Profiles","Metal Profiles",13,74.8,1100,4,"Others","c 100-250","IAM"
"9689","Southern Italy",20,1895.69,215.42,290.25,1.5,344.88,"Profiles","Metal Profiles",13,282.6,3451,29,"Others","b 20-100","ITA"
"9690","Southern Italy",10,1129.91,78.23,55.84,1.2,365.48,"Profiles","Metal Profiles",22,107,1846,18,"Nationals","e >500","ITA"
"9691","Southern Italy",20,1495.65,64.3,49.18,3.9,293.64,"Profiles","Metal Profiles",25,300.6,2991,4,"Others","e >500","NAM"
"9692","Southern Italy",20,1553.53,59.98,48.74,3.55,302.67,"Profiles","Metal Profiles",25,317.8,3041,4,"Others","e >500","NAM"
"9693","Southern Italy",20,1668.47,60.94,51.45,3.62,307.83,"Profiles","Metal Profiles",26,317.8,3041,4,"Others","e >500","NAM"
"9694","Southern Italy",25,2458.03,106.35,79.14,6.05,353.5,"Profiles","Metal Profiles",26,351,3333,18,"Others","e >500","NAM"
"9695","Southern Italy",50,3881.81,167.74,128.12,10.22,603.78,"Profiles","Metal Profiles",25,767,104,18,"Others","e >500","NAM"
"9696","Southern Italy",20,1820.67,73.86,61.96,5.19,379.95,"Profiles","Metal Profiles",26,331.8,3475,4,"Others","e >500","NAM"
"9697","Southern Italy",20,1603.36,64.96,51.21,3.86,299.33,"Profiles","Metal Profiles",25,306.8,3007,4,"Others","e >500","NAM"
"9698","Southern Italy",15,1322.9,89.56,100.96,1.69,218.64,"Profiles","Metal Profiles",21,195.75,1965,29,"Others","c 100-250","IAM"
"9699","Southern Italy",13,1208.16,101.46,62.5,1.48,300.79,"Profiles","Metal Profiles",22,204.75,2915,29,"Nationals","e >500","ITA"
"9700","UK",6,570.23,125.44,23.52,1.17,198.83,"Profiles","Metal Profiles",24,95.46,1172,51,"Nationals","c 100-250","UKE"
"9701","Southern Italy",54,5801.29,328.63,323.98,20.95,978.32,"Profiles","Metal Profiles",22,850.5,558,74,"Strategic","Strategic","FRA"
"9702","Southern Italy",91,9395.88,361.69,440.43,6.47,1569.92,"Profiles","Metal Profiles",22,1452.36,1724,68,"Nationals","e >500","CSI"
"9703","Southern Italy",6,647.56,71.21,52.23,0.47,220.31,"Profiles","Metal Profiles",23,95.76,1808,4,"Others","d 250-500","ITA"
"9704","Southern Italy",50,4366.78,264.56,216.29,3.37,754,"Profiles","Metal Profiles",23,787.5,304,40,"Nationals","d 250-500","ITA"
"9706","Southern Italy",15,1559.22,95.6,131.17,1.37,262.6,"Profiles","Metal Profiles",23,1493.58,3082,29,"Nationals","c 100-250","FRA"
"9707","Southern Italy",73,7588.21,609.75,370.05,7.69,1257.22,"Profiles","Metal Profiles",23,1493.58,1510,13,"Nationals","e >500","ITA"
"9708","Southern Italy",5,519.74,41.11,82.25,0.45,87.53,"Profiles","Metal Profiles",23,1493.58,1167,4,"Others","a 0-20","CIN"
"9709","Southern Italy",20,1676.78,139.41,141.65,1.19,199.47,"Profiles","Metal Profiles",17,607.66,2505,18,"Others","c 100-250","ITA"
"9710","Southern Italy",6,503.03,55.96,25.56,0.47,59.84,"Profiles","Metal Profiles",17,607.66,4456,4,"Nationals","e >500","ITA"
"9711","Southern Italy",5,419.2,35.58,43.66,0.32,49.87,"Profiles","Metal Profiles",17,607.66,4164,4,"Others","e >500","ITA"
"9712","Southern Italy",10,838.39,80.92,91.52,1.08,99.73,"Profiles","Metal Profiles",17,607.66,1201,18,"Others","e >500","CEU"
"9713","Southern Italy",5,419.2,39.64,38.14,0.41,49.87,"Profiles","Metal Profiles",17,607.66,4164,4,"Others","e >500","CEU"
"9714","Southern Italy",8,701.26,39.2,45.25,0.47,69.81,"Profiles","Metal Profiles",17,2496.69,993,18,"Others","b 20-100","FRA"
"9715","Southern Italy",55,4821.15,237.44,198.41,3.47,479.95,"Profiles","Metal Profiles",17,2496.69,4282,51,"Others","c 100-250","IAM"
"9716","Southern Italy",10,876.57,64.38,74.14,0.63,87.26,"Profiles","Metal Profiles",17,2496.69,1201,4,"Others","c 100-250","ITA"
"9717","Southern Italy",5,438.29,26.7,153.08,0.33,43.63,"Profiles","Metal Profiles",17,2496.69,4164,4,"Others","b 20-100","ITA"
"9718","Southern Italy",5,438.29,37.33,45.55,0.36,43.63,"Profiles","Metal Profiles",17,2496.69,4164,4,"Others","b 20-100","ITA"
"9719","Southern Italy",11,964.23,79.86,102.6,0.54,95.99,"Profiles","Metal Profiles",17,2496.69,1278,18,"Nationals","c 100-250","ITA"
"9720","Southern Italy",20,1753.14,133.4,165.2,1.43,174.53,"Profiles","Metal Profiles",17,2496.69,2505,29,"Others","e >500","ITA"
"9721","Southern Italy",55,4821.15,348.71,496.05,3.23,479.95,"Profiles","Metal Profiles",17,2496.69,4282,29,"Others","e >500","ITA"
"9722","Southern Italy",20,1753.14,125.06,145.18,1.23,174.53,"Profiles","Metal Profiles",17,2496.69,2505,4,"Others","d 250-500","ITA"
"9723","Southern Italy",4,376.03,22.02,29.39,0.31,34.83,"Profiles","Metal Profiles",17,3606.33,3734,4,"Others","b 20-100","FRA"
"9724","Southern Italy",19,1786.14,101.9,139.62,1.47,165.46,"Profiles","Metal Profiles",17,3606.33,2440,51,"Others","c 100-250","FRA"
"9725","Southern Italy",120,11280.89,801.23,884.77,10.96,1024.29,"Profiles","Metal Profiles",17,3606.33,716,51,"Others","e >500","SCA"
"9726","Southern Italy",30,2820.22,187.29,239.08,2.06,261.26,"Profiles","Metal Profiles",17,3606.33,3129,29,"Others","c 100-250","ITA"
"9727","Southern Italy",5,470.04,31.82,54.87,0.34,43.54,"Profiles","Metal Profiles",17,3606.33,4164,4,"Others","d 250-500","ITA"
"9728","Southern Italy",5,470.04,37.18,49.1,0.4,43.54,"Profiles","Metal Profiles",17,3606.33,4164,4,"Others","b 20-100","ITA"
"9729","Southern Italy",10,940.07,64.81,88.66,0.78,87.09,"Profiles","Metal Profiles",17,3606.33,1201,18,"Others","e >500","ITA"
"9730","Southern Italy",5,470.04,31.26,48.68,0.34,43.54,"Profiles","Metal Profiles",17,3606.33,4164,4,"Others","e >500","ITA"
"9731","Southern Italy",15,1410.11,101.27,148.78,1.44,130.63,"Profiles","Metal Profiles",17,3606.33,1973,18,"Others","e >500","CEU"
"9732","Southern Italy",35,3290.26,248.72,299.11,3.08,304.8,"Profiles","Metal Profiles",17,3606.33,3455,60,"Others","e >500","CEU"
"9733","Southern Italy",20,1880.15,98.63,193.56,1.76,174.17,"Profiles","Metal Profiles",17,3606.33,2505,40,"Others","e >500","FRA"
"9734","UK",5,470.04,137.56,23.1,1.28,43.54,"Profiles","Metal Profiles",17,3606.33,4164,4,"Others","e >500","UKE"
"9735","Southern Italy",10,1162.06,73.8,98.69,0.86,149.26,"Profiles","Metal Profiles",17,238.65,1330,18,"Others","c 100-250","ITA"
"9736","Southern Italy",5,581.03,29.33,52.8,0.54,74.63,"Profiles","Metal Profiles",17,238.65,4427,4,"Others","b 20-100","CSI"
"9738","UK",30,3158.23,492.28,95.76,4.58,515.55,"Profiles","Metal Profiles",25,493.21,4053,17,"Nationals","b 20-100","UKE"
"9739","Southern Italy",5,379.47,42.24,31.43,0.48,105.69,"Profiles","Metal Profiles",21,100.45,4257,4,"Others","e >500","SCA"
"9742","Southern Italy",10,822.18,47.99,95.94,0.59,85.72,"Profiles","Metal Profiles",17,1968.29,1171,18,"Others","d 250-500","ITA"
"9743","Southern Italy",10,822.18,54.61,74.4,0.77,85.72,"Profiles","Metal Profiles",17,1968.29,1171,4,"Others","e >500","CEU"
"9745","UK",126,10359.47,1176.39,228.22,10.35,1059.27,"Profiles","Metal Profiles",17,1968.29,740,17,"Nationals","e >500","UKE"
"9746","UK",9,1035.61,211.6,34.22,1.65,206.16,"Profiles","Metal Profiles",23,143.19,1887,40,"Nationals","c 100-250","UKE"
"9747","Southern Italy",12,1038.22,56.2,74.79,0.84,110.24,"Profiles","Metal Profiles",17,1294.95,1370,4,"Nationals","c 100-250","FRA"
"9748","Southern Italy",15,1297.78,63.78,74.4,0.88,137.8,"Profiles","Metal Profiles",17,1294.95,1979,4,"Others","b 20-100","CSI"
"9749","Southern Italy",20,1730.37,103.69,137.44,1.25,183.73,"Profiles","Metal Profiles",17,1294.95,2508,4,"Nationals","d 250-500","ITA"
"9750","Southern Italy",50,4325.92,285.08,504.98,3.03,459.32,"Profiles","Metal Profiles",17,1294.95,4178,68,"Others","d 250-500","ITA"
"9751","Southern Italy",4,396.34,27.8,38.72,0.42,36.4,"Profiles","Metal Profiles",17,1809.77,3734,29,"Others","c 100-250","FRA"
"9752","Southern Italy",25,2477.12,192.21,198.78,2.68,227.47,"Profiles","Metal Profiles",17,1809.77,2921,29,"Others","e >500","SCA"
"9753","Southern Italy",15,1486.27,96.28,97.01,1.8,136.48,"Profiles","Metal Profiles",17,1809.77,1973,4,"Nationals","c 100-250","CEU"
"9754","Southern Italy",10,990.85,67.49,81.43,0.69,90.99,"Profiles","Metal Profiles",17,1809.77,1201,4,"Others","d 250-500","ITA"
"9755","Southern Italy",11,1089.93,65.02,72.88,0.91,100.09,"Profiles","Metal Profiles",17,1809.77,1278,18,"Others","a 0-20","CSI"
"9756","Southern Italy",10,990.85,28.15,86.3,1.13,90.99,"Profiles","Metal Profiles",17,1809.77,1201,18,"Others","e >500","SCA"
"9757","Southern Italy",5,495.42,40.54,53.69,0.61,45.49,"Profiles","Metal Profiles",17,1809.77,4164,4,"Others","e >500","CEU"
"9758","Southern Italy",40,3963.4,317.06,360.54,3.73,363.96,"Profiles","Metal Profiles",17,1809.77,3731,64,"Others","e >500","CEU"
"9759","Southern Italy",15,1486.27,79.17,249.16,1.21,136.48,"Profiles","Metal Profiles",17,1809.77,1973,4,"Others","a 0-20","SAM"
"9762","Southern Italy",5,457.31,49.51,48.32,0.28,120.89,"Profiles","Metal Profiles",17,66.05,4164,4,"Nationals","c 100-250","ITA"
"9764","Southern Italy",4,360.76,22.19,29.94,0.32,37.92,"Profiles","Metal Profiles",17,937.91,3734,18,"Others","c 100-250","FRA"
"9765","Southern Italy",10,901.89,61.56,75.24,0.7,94.8,"Profiles","Metal Profiles",17,937.91,1201,4,"Others","d 250-500","ITA"
"9766","Southern Italy",20,1803.79,62.71,238.54,1.47,189.6,"Profiles","Metal Profiles",17,937.91,2505,4,"Others","c 100-250","CSI"
"9767","Southern Italy",5,450.95,11.94,37.89,0.46,47.4,"Profiles","Metal Profiles",17,937.91,4164,4,"Others","e >500","SCA"
"9768","Southern Italy",5,450.95,35.92,48.82,0.55,47.4,"Profiles","Metal Profiles",17,937.91,4164,4,"Others","e >500","CEU"
"9769","Southern Italy",25,2254.73,175.52,204.96,2.11,237,"Profiles","Metal Profiles",17,937.91,2921,40,"Others","e >500","CEU"
"9771","Southern Italy",20,2089.95,143.97,167.51,2.25,367.4,"Profiles","Metal Profiles",24,264.2,3094,18,"Others","e >500","SCA"
"9772","Southern Italy",30,2611.63,112.81,192.28,1.8,231.7,"Profiles","Metal Profiles",17,3279.12,2919,4,"Others","e >500","IAM"
"9773","Southern Italy",270,23504.68,805.98,771.15,19.97,2064.55,"Profiles","Metal Profiles",17,3279.12,2335,64,"Nationals","d 250-500","CSI"
"9774","UK",10,870.54,112.67,21.07,0.97,77.23,"Profiles","Metal Profiles",17,3279.12,1034,51,"Nationals","e >500","UKE"
"9776","UK",4,351.86,84.76,13.25,0.65,134.41,"Profiles","Metal Profiles",23,64.2,4013,18,"Nationals","c 100-250","UKE"
"9777","Southern Italy",5,468.36,38.35,37.33,0.34,179.57,"Profiles","Metal Profiles",24,79.55,1028,4,"Nationals","d 250-500","ITA"
"9778","Southern Italy",12,1223.42,97.46,39.21,0.93,236.8,"Profiles","Metal Profiles",24,211.36,2112,4,"Nationals","b 20-100","UKE"
"9779","UK",4,407.81,54.1,10.09,0.51,78.93,"Profiles","Metal Profiles",24,211.36,4427,18,"Others","a 0-20","UKE"
"9780","Southern Italy",10,851.12,78.79,43.95,0.64,101.59,"Profiles","Metal Profiles",17,554.82,1201,4,"Others","d 250-500","IAM"
"9781","UK",31,2638.47,327.73,56.48,2.55,314.92,"Profiles","Metal Profiles",17,554.82,3305,64,"Nationals","e >500","UKE"
"9783","UK",11,980.88,148.37,23.52,1.08,242.4,"Profiles","Metal Profiles",25,175.01,2116,40,"Nationals","e >500","UKE"
"9784","Southern Italy",4,391.95,25.92,19.65,0.44,64.36,"Profiles","Metal Profiles",22,224.7,4013,18,"Nationals","e >500","ITA"
"9785","Southern Italy",10,979.86,63.59,83.27,0.85,160.9,"Profiles","Metal Profiles",22,224.7,1359,4,"Others","d 250-500","ITA"
"9786","Southern Italy",5,483.64,59.43,24.52,0.41,155.94,"Profiles","Metal Profiles",22,80.25,4427,4,"Nationals","d 250-500","ITA"
"9787","Southern Italy",105,12004.74,682.74,759.48,49.81,2153.82,"Profiles","Metal Profiles",23,1653.75,2341,9,"Strategic","Strategic","FRA"
"9788","Southern Italy",15,1428.8,121.64,113.61,1.52,278.45,"Profiles","Metal Profiles",22,198.15,1973,29,"Others","e >500","SCA"
"9789","Southern Italy",5,467.09,33.01,37.01,0.49,193.99,"Profiles","Metal Profiles",22,66.05,4164,4,"Others","e >500","SCA"
"9790","Southern Italy",5,474.66,43.78,38.62,0.37,210.92,"Profiles","Metal Profiles",24,79.55,1028,4,"Others","d 250-500","ITA"
"9791","Southern Italy",7,754.74,69.6,19.44,0.75,139.65,"Profiles","Metal Profiles",25,286.38,1316,4,"Nationals","e >500","UKE"
"9792","Southern Italy",11,1186.02,71.27,79.29,0.99,219.45,"Profiles","Metal Profiles",25,286.38,2123,18,"Others","a 0-20","CSI"
"9793","UK",35,3089.1,505.5,72.58,3.67,368.26,"Profiles","Metal Profiles",21,462.87,3395,64,"Others","c 100-250","UKE"
"9795","Southern Italy",65,6770.56,426.17,527.01,6.34,607.4,"Profiles","Metal Profiles",17,990.75,59,51,"Others","e >500","SCA"
"9796","Southern Italy",5,520.81,24.23,47.38,0.48,48.32,"Profiles","Metal Profiles",17,990.75,4164,4,"Others","b 20-100","CSI"
"9797","Southern Italy",5,520.81,25.74,13.17,0.34,48.32,"Profiles","Metal Profiles",17,990.75,4164,4,"Others","e >500","CEU"
"9799","Southern Italy",125,11786.1,700.69,972.35,8.12,1135.56,"Profiles","Metal Profiles",22,1668.75,1398,64,"Nationals","c 100-250","ITA"
"9800","Southern Italy",56,5454.23,418.74,277.93,6.4,573.01,"Profiles","Metal Profiles",22,747.6,4371,10,"Nationals","e >500","ITA"
"9801","Southern Italy",15,1419.15,134.81,73.28,1.07,218.25,"Profiles","Metal Profiles",17,238.65,2112,18,"Others","d 250-500","IAM"
"9802","Southern Italy",28,2595.82,207.11,65.88,2.51,488.28,"Profiles","Metal Profiles",25,449.4,3979,18,"Nationals","e >500","UKE"
"9803","Southern Italy",60,5726.46,203.57,293.39,7.87,655.45,"Profiles","Metal Profiles",22,963,138,4,"Nationals","d 250-500","SAM"
"9804","Southern Italy",5,595.43,39.55,30.36,0.43,109.18,"Profiles","Metal Profiles",25,353.1,1207,4,"Nationals","e >500","SAM"
"9805","Southern Italy",17,2024.48,193.88,98.05,2,371.21,"Profiles","Metal Profiles",25,353.1,3450,60,"Nationals","e >500","ITA"
"9807","Southern Italy",10,1025.41,67.28,87.63,0.92,252.6,"Profiles","Metal Profiles",25,159.1,2046,4,"Others","d 250-500","ITA"
"9809","Southern Italy",10,1081.28,82.23,55.04,2.35,109.87,"Profiles","Metal Profiles",22,2007.5,1359,4,"Nationals","d 250-500","UKE"
"9810","Southern Italy",115,12434.72,625.99,588.54,8.11,1242.8,"Profiles","Metal Profiles",22,2007.5,1477,60,"Nationals","d 250-500","ITA"
"9811","Southern Italy",175,19623.4,732.62,1029.78,1628.56,1774.11,"Profiles","Metal Profiles",22,3168.75,2273,5,"Others","e >500","ITA"
"9812","Southern Italy",5,560.67,20.96,26,0.62,51.28,"Profiles","Metal Profiles",22,3168.75,4442,4,"Nationals","d 250-500","SAM"
"9813","Southern Italy",15,1682.01,84.68,42.35,1.08,153.85,"Profiles","Metal Profiles",22,3168.75,2123,29,"Others","e >500","CEU"
"9815","Southern Italy",10,1073.64,78.06,27.85,0.76,157.18,"Profiles","Metal Profiles",17,105.1,1034,18,"Others","e >500","CEU"
"9816","Southern Italy",20,2176.76,96.61,114.72,186.12,268.48,"Profiles","Metal Profiles",22,267.2,2509,18,"Others","e >500","ITA"
"9817","Southern Italy",10,1103.52,100.88,34.8,0.8,251.86,"Profiles","Metal Profiles",25,159.1,2045,4,"Nationals","b 20-100","UKE"
"9818","Southern Italy",10,1195.83,76.61,62.81,100.82,191.09,"Profiles","Metal Profiles",22,160.6,1359,18,"Others","e >500","ITA"
"9819","Southern Italy",210,21646.23,986.52,545.48,13.58,2069.04,"Profiles","Metal Profiles",22,3372.6,2721,64,"Others","e >500","CEU"
"9820","Southern Italy",5,523.42,49.9,17.33,0.43,175.43,"Profiles","Metal Profiles",24,66.05,922,4,"Nationals","b 20-100","UKE"
"9821","Southern Italy",130,14708.01,257.83,1414.13,11.11,520.7,"Profiles","Metal Profiles",0,0,1,4,"Others","d 250-500","APA"
"9824","Southern Italy",50,5378.27,167.21,160.42,10.51,915.11,"Profiles","Metal Profiles",33,814,503,4,"Others","e >500","NAM"
"9825","Southern Italy",1100,122168.15,3265.03,3351.03,174.57,18244.5,"Profiles","Metal Profiles",33,17908,2549,64,"Others","e >500","NAM"
"9826","Southern Italy",20,2252.86,76.24,70.57,5.12,449.96,"Profiles","Metal Profiles",34,379.6,3798,4,"Others","e >500","NAM"
"9827","Southern Italy",75,8183.95,269.2,256.32,18.61,1312.83,"Profiles","Metal Profiles",33,1221,1554,18,"Others","e >500","NAM"
"9829","Southern Italy",33,3653.55,262.72,223.28,3.38,773.71,"Profiles","Metal Profiles",28,613.14,303,60,"Others","e >500","SCA"
"9830","Southern Italy",10,1142.1,63.61,35.92,2.63,297.11,"Profiles","Metal Profiles",33,189.7,2676,4,"Others","e >500","NAM"
